Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-11-01","1,563","2,991","1.27","7","1,440","0","0","0","0"
"2016-11-02","1,690","4,022","1.7","4","1,440","0","0","0","0"
"2016-11-03","1,563","3,255","1.38","3","1,408","32","0","0","96"
"2016-11-04","1,416","1,155","0.49","2","1,406","34","0","0","106"
"2016-11-05","1,321","0","0","0","1,440","0","0","0","0"
"2016-11-06","1,456","1,305","0.55","2","1,390","50","0","0","174"
"2016-11-07","1,618","3,840","1.65","4","1,359","73","3","5","325"
"2016-11-08","1,546","2,761","1.17","2","1,354","86","0","0","263"
"2016-11-09","1,663","3,082","1.31","4","1,329","89","15","7","411"
"2016-11-10","1,396","996","0.45","1","1,411","29","0","0","90"
"2016-11-11","1,320","0","0","0","1,440","0","0","0","0"
"2016-11-12","1,320","0","0","0","1,440","0","0","0","0"
"2016-11-13","1,320","0","0","0","1,440","0","0","0","0"
"2016-11-14","1,390","876","0.37","2","1,412","28","0","0","92"
"2016-11-15","1,520","2,679","1.14","1","1,363","77","0","0","242"
"2016-11-16","1,717","3,752","1.61","2","1,312","84","33","11","488"
"2016-11-17","1,549","3,780","1.6","10","1,440","0","0","0","0"
"2016-11-18","1,677","5,121","2.17","8","1,440","0","0","0","0"
"2016-11-19","1,561","2,558","1.08","3","1,440","0","0","0","0"
"2016-11-20","1,645","3,272","1.39","3","1,440","0","0","0","0"
"2016-11-21","1,617","3,138","1.33","4","1,440","0","0","0","0"
"2016-11-22","1,320","1,773","0.75","2","1,440","0","0","0","0"
"2016-11-23","1,321","0","0","0","1,440","0","0","0","0"
"2016-11-24","1,321","0","0","0","1,440","0","0","0","0"
"2016-11-25","2,215","16,701","7.13","62","1,440","0","0","0","0"
"2016-11-26","1,784","6,190","2.62","7","1,440","0","0","0","0"
"2016-11-27","1,321","0","0","0","1,440","0","0","0","0"
"2016-11-28","1,647","3,544","1.53","4","1,440","0","0","0","0"
"2016-11-29","1,618","3,907","1.66","2","1,440","0","0","0","0"
"2016-11-30","1,671","3,568","1.54","5","1,440","0","0","0","0"
"2016-12-01","1,583","3,768","1.6","8","1,440","0","0","0","0"
"2016-12-02","1,321","0","0","0","1,440","0","0","0","0"
"2016-12-03","1,321","0","0","0","1,440","0","0","0","0"
"2016-12-04","1,321","0","0","0","1,440","0","0","0","0"
"2016-12-05","1,320","0","0","0","1,440","0","0","0","0"
"2016-12-06","1,320","1,027","0.44","2","1,440","0","0","0","0"
"2016-12-07","1,897","6,240","2.64","15","1,252","131","44","13","717"
"2016-12-08","1,599","4,303","1.82","9","1,331","100","9","0","357"
"2016-12-09","1,604","3,886","1.67","4","1,329","105","6","0","356"
"2016-12-10","1,320","0","0","0","1,440","0","0","0","0"
"2016-12-11","1,320","0","0","0","1,440","0","0","0","0"
"2016-12-12","1,750","5,256","2.23","7","1,273","160","7","0","556"
"2016-12-13","1,563","3,296","1.4","5","1,438","2","0","0","6"
"2016-12-14","1,706","5,440","2.31","7","1,440","0","0","0","0"
"2016-12-15","1,314","0","0","0","1,440","0","0","0","0"
"2016-12-16","1,314","2,843","1.2","5","1,440","0","0","0","0"
"2016-12-17","1,314","0","0","0","1,440","0","0","0","0"
"2016-12-18","1,314","0","0","0","1,440","0","0","0","0"
"2016-12-19","1,314","0","0","0","1,440","0","0","0","0"
"2016-12-20","1,314","0","0","0","1,440","0","0","0","0"
"2016-12-21","1,492","2,445","1.04","2","1,375","65","0","0","208"
"2016-12-22","1,360","713","0.3","3","1,421","19","0","0","61"
"2016-12-23","1,666","3,679","1.56","6","1,323","95","11","11","435"
"2016-12-24","1,614","4,154","1.76","11","1,331","97","12","0","358"
"2016-12-25","1,556","3,194","1.35","3","1,338","102","0","0","313"
"2016-12-26","1,314","0","0","0","1,440","0","0","0","0"
"2016-12-27","1,314","0","0","0","1,440","0","0","0","0"
"2016-12-28","1,314","0","0","0","1,440","0","0","0","0"
"2016-12-29","1,314","0","0","0","1,440","0","0","0","0"
"2016-12-30","1,314","0","0","0","1,440","0","0","0","0"
"2016-12-31","1,314","0","0","0","1,440","0","0","0","0"
"2016-08-01","1,705","5,592","2.37","4","1,303","118","17","2","488"
"2016-08-02","1,499","2,260","0.96","2","888","78","0","0","220"
"2016-08-03","1,721","4,495","1.9","4","979","102","27","8","501"
